Epoch,Train_Time,Loss_mean_Dev,Loss_mean_Train,Loss_Percentile_2.5_Dev,Loss_Percentile_2.5_Train,Loss_Percentile_97.5_Dev,Loss_Percentile_97.5_Train,Accuracy_mean_Dev,Accuracy_mean_Train,Model,Optimizer,Learning_Rate,Train_Batch_Size
1,0.3172719478607178,2.33,2.33,2.04,2.05,2.62,2.62,0.1,0.09,"[[Flatten(start_dim=1, end_dim=-1), Linear(in_features=784, out_features=10, bias=True), ReLU(), Linear(in_features=10, out_features=10, bias=True)]]",ASGD,0.0001,16
3,0.9042510986328125,2.32,2.32,2.04,2.05,2.62,2.62,0.1,0.11,"[[Flatten(start_dim=1, end_dim=-1), Linear(in_features=784, out_features=10, bias=True), ReLU(), Linear(in_features=10, out_features=10, bias=True)]]",ASGD,0.0001,16
6,1.9497478008270264,2.31,2.32,2.05,2.05,2.61,2.61,0.11,0.1,"[[Flatten(start_dim=1, end_dim=-1), Linear(in_features=784, out_features=10, bias=True), ReLU(), Linear(in_features=10, out_features=10, bias=True)]]",ASGD,0.0001,16
9,3.041924476623535,2.32,2.32,2.05,2.04,2.61,2.61,0.11,0.11,"[[Flatten(start_dim=1, end_dim=-1), Linear(in_features=784, out_features=10, bias=True), ReLU(), Linear(in_features=10, out_features=10, bias=True)]]",ASGD,0.0001,16
12,3.8511769771575928,2.32,2.32,2.05,2.05,2.62,2.61,0.11,0.1,"[[Flatten(start_dim=1, end_dim=-1), Linear(in_features=784, out_features=10, bias=True), ReLU(), Linear(in_features=10, out_features=10, bias=True)]]",ASGD,0.0001,16
15,4.655983924865723,2.31,2.31,2.05,2.05,2.61,2.61,0.12,0.11,"[[Flatten(start_dim=1, end_dim=-1), Linear(in_features=784, out_features=10, bias=True), ReLU(), Linear(in_features=10, out_features=10, bias=True)]]",ASGD,0.0001,16
18,5.472279787063599,2.31,2.32,2.05,2.06,2.61,2.61,0.13,0.1,"[[Flatten(start_dim=1, end_dim=-1), Linear(in_features=784, out_features=10, bias=True), ReLU(), Linear(in_features=10, out_features=10, bias=True)]]",ASGD,0.0001,16
20,6.047546863555908,2.31,2.31,2.05,2.06,2.61,2.61,0.13,0.12,"[[Flatten(start_dim=1, end_dim=-1), Linear(in_features=784, out_features=10, bias=True), ReLU(), Linear(in_features=10, out_features=10, bias=True)]]",ASGD,0.0001,16
1,0.27852559089660645,2.32,2.33,2.04,2.04,2.62,2.62,0.1,0.1,"[[Flatten(start_dim=1, end_dim=-1), Linear(in_features=784, out_features=10, bias=True), ReLU(), Linear(in_features=10, out_features=10, bias=True)]]",Adadelta,0.0001,16
3,0.7836048603057861,2.33,2.33,2.04,2.05,2.62,2.61,0.09,0.1,"[[Flatten(start_dim=1, end_dim=-1), Linear(in_features=784, out_features=10, bias=True), ReLU(), Linear(in_features=10, out_features=10, bias=True)]]",Adadelta,0.0001,16
